timestamp_utc,cache_key,model,subdir
2026-08-31T20:35:00.876814+00:00,extract_2024_ld_neutral_gpt-5_run3,gpt-5,extractions
2026-08-31T20:36:22.475293+00:00,extract_2024_ld_neutral_gpt-5_run4,gpt-5,extractions
2026-08-31T20:38:21.846119+00:00,extract_2024_ld_neutral_gpt-5_run5,gpt-5,extractions
2026-08-31T20:39:43.017200+00:00,extract_2024_ld_framing_preserving_gpt-5_run1,gpt-5,extractions
2026-08-31T20:40:46.532235+00:00,extract_2024_ld_framing_preserving_gpt-5_run2,gpt-5,extractions
2026-08-31T20:42:45.968383+00:00,extract_2024_ld_framing_preserving_gpt-5_run3,gpt-5,extractions
2026-08-31T20:44:18.440616+00:00,extract_2024_ld_framing_preserving_gpt-5_run4,gpt-5,extractions
2026-08-31T20:46:13.374880+00:00,extract_2024_ld_framing_preserving_gpt-5_run5,gpt-5,extractions
2026-08-31T20:48:14.900204+00:00,extract_2024_ld_framed_gpt-5_run1,gpt-5,extractions
2026-08-31T20:50:12.576469+00:00,extract_2024_ld_framed_gpt-5_run2,gpt-5,extractions
2026-08-31T20:51:44.427707+00:00,extract_2024_ld_framed_gpt-5_run3,gpt-5,extractions
2026-08-31T20:53:26.736819+00:00,extract_2024_ld_framed_gpt-5_run4,gpt-5,extractions
2026-08-31T20:55:33.750523+00:00,extract_2024_ld_framed_gpt-5_run5,gpt-5,extractions
2026-08-31T20:56:51.860590+00:00,extract_2024_ld_distorted_gpt-5_run1,gpt-5,extractions
2026-08-31T20:58:41.110085+00:00,extract_2024_ld_distorted_gpt-5_run2,gpt-5,extractions
2026-08-31T21:00:18.194125+00:00,extract_2024_ld_distorted_gpt-5_run3,gpt-5,extractions
2026-08-31T21:02:13.063571+00:00,extract_2024_ld_distorted_gpt-5_run4,gpt-5,extractions
2026-08-31T21:04:01.891373+00:00,extract_2024_ld_distorted_gpt-5_run5,gpt-5,extractions
2026-08-31T21:06:01.575391+00:00,extract_2024_ld_anonymised_gpt-5_run1,gpt-5,extractions
2026-08-31T21:07:44.717224+00:00,extract_2024_ld_anonymised_gpt-5_run2,gpt-5,extractions
2026-08-31T21:09:15.708128+00:00,extract_2024_ld_anonymised_gpt-5_run3,gpt-5,extractions
2026-08-31T21:11:26.920965+00:00,extract_2024_ld_anonymised_gpt-5_run4,gpt-5,extractions
2026-08-31T21:12:42.873281+00:00,extract_2024_ld_anonymised_gpt-5_run5,gpt-5,extractions
2026-08-31T21:13:09.399700+00:00,2024_green_minimal_gpt-5_run1,gpt-5,summaries
2026-08-31T21:13:38.145053+00:00,2024_green_minimal_gpt-5_run2,gpt-5,summaries
2026-08-31T21:14:12.041774+00:00,2024_green_minimal_gpt-5_run3,gpt-5,summaries
2026-08-31T21:14:42.043525+00:00,2024_green_minimal_gpt-5_run4,gpt-5,summaries
2026-08-31T21:15:12.212891+00:00,2024_green_minimal_gpt-5_run5,gpt-5,summaries
2026-08-31T21:16:04.526825+00:00,2024_green_neutral_gpt-5_run1,gpt-5,summaries
2026-08-31T21:16:45.973735+00:00,2024_green_neutral_gpt-5_run2,gpt-5,summaries
2026-08-31T21:17:33.585836+00:00,2024_green_neutral_gpt-5_run3,gpt-5,summaries
2026-08-31T21:18:17.864294+00:00,2024_green_neutral_gpt-5_run4,gpt-5,summaries
2026-08-31T21:18:59.954421+00:00,2024_green_neutral_gpt-5_run5,gpt-5,summaries
2026-08-31T21:19:20.044519+00:00,2024_green_framing_preserving_gpt-5_run1,gpt-5,summaries
2026-08-31T21:19:51.546110+00:00,2024_green_framing_preserving_gpt-5_run2,gpt-5,summaries
2026-08-31T21:20:21.382518+00:00,2024_green_framing_preserving_gpt-5_run3,gpt-5,summaries
2026-08-31T21:20:51.630925+00:00,2024_green_framing_preserving_gpt-5_run4,gpt-5,summaries
2026-08-31T21:21:19.377929+00:00,2024_green_framing_preserving_gpt-5_run5,gpt-5,summaries
2026-08-31T21:22:04.076728+00:00,2024_green_framed_gpt-5_run1,gpt-5,summaries
2026-08-31T21:22:46.105105+00:00,2024_green_framed_gpt-5_run2,gpt-5,summaries
2026-08-31T21:23:54.626413+00:00,2024_green_framed_gpt-5_run3,gpt-5,summaries
2026-08-31T21:24:35.470447+00:00,2024_green_framed_gpt-5_run4,gpt-5,summaries
2026-08-31T21:25:19.764786+00:00,2024_green_framed_gpt-5_run5,gpt-5,summaries
2026-08-31T21:26:02.135146+00:00,2024_green_distorted_gpt-5_run1,gpt-5,summaries
2026-08-31T21:26:36.824809+00:00,2024_green_distorted_gpt-5_run2,gpt-5,summaries
2026-08-31T21:27:10.213870+00:00,2024_green_distorted_gpt-5_run3,gpt-5,summaries
2026-08-31T21:27:41.763570+00:00,2024_green_distorted_gpt-5_run4,gpt-5,summaries
2026-08-31T21:28:11.151205+00:00,2024_green_distorted_gpt-5_run5,gpt-5,summaries
2026-08-31T21:29:08.069575+00:00,2024_green_anonymised_gpt-5_run1,gpt-5,summaries
2026-08-31T21:29:59.591380+00:00,2024_green_anonymised_gpt-5_run2,gpt-5,summaries
2026-08-31T21:31:01.806457+00:00,2024_green_anonymised_gpt-5_run3,gpt-5,summaries
2026-08-31T21:31:53.420363+00:00,2024_green_anonymised_gpt-5_run4,gpt-5,summaries
2026-08-31T21:32:51.914431+00:00,2024_green_anonymised_gpt-5_run5,gpt-5,summaries
2026-08-31T21:34:26.319608+00:00,extract_2024_green_minimal_gpt-5_run1,gpt-5,extractions
2026-08-31T21:36:32.410427+00:00,extract_2024_green_minimal_gpt-5_run2,gpt-5,extractions
2026-08-31T21:37:54.248297+00:00,extract_2024_green_minimal_gpt-5_run3,gpt-5,extractions
2026-08-31T21:39:23.750407+00:00,extract_2024_green_minimal_gpt-5_run4,gpt-5,extractions
